index,image,carbs,fat,fibre,kcal,protein,salt,saturates,sugars
1,recipe-image-legacy-id-46013_11-99b8eda.jpg,30.0,11.0,2.0,275.0,17.0,1.99,6.0,4.0
2,recipe-image-legacy-id-743466_11-e87df17.jpg,38.0,7.0,2.0,240.0,8.0,1.37,2.0,1.0
3,recipe-image-legacy-id-1119465_11-4aebb21.jpg,22.0,17.0,1.0,294.0,13.0,1.5,9.0,1.0
4,recipe-image-legacy-id-1201816_10-7f0a38f.jpg,32.0,9.0,2.0,250.0,12.0,1.0,5.0,3.0
9,recipe-image-legacy-id-1025484_11-f56ab42.jpg,25.0,11.0,1.0,218.0,6.0,0.6,6.0,1.0
11,recipe-image-legacy-id-781508_11-47e1bfb.jpg,46.0,27.0,3.0,492.0,18.0,1.42,10.0,1.0
13,recipe-image-legacy-id-27118_12-d7e3e79.jpg,38.0,10.0,3.0,258.0,6.0,1.05,1.0,1.0
17,recipe-image-legacy-id-327811_12-848628f.jpg,23.0,12.0,1.0,224.0,7.0,0.85,5.0,2.0
20,recipe-image-legacy-id-328149_12-1c70276.jpg,26.0,12.0,1.0,230.0,6.0,0.89,7.0,2.0
32,recipe-image-legacy-id-741479_11-85a163e.jpg,15.0,2.0,1.0,81.0,3.0,0.45,1.0,1.0
37,recipe-image-legacy-id-77451_11-15b4214.jpg,42.0,13.0,5.0,315.0,11.0,1.0,1.0,5.0
38,recipe-image-legacy-id-1274479_8-2fd8fce.jpg,34.3,1.1,6.9,170.0,5.6,0.3,0.2,2.3
39,bread-thins-8a75e8f.jpg,21.0,1.0,2.0,115.0,5.0,0.4,0.3,1.0
45,pitta-bread-74a1b32.jpg,47.0,2.0,2.0,246.0,8.0,1.0,0.4,0.3
53,piri-piri-chicken-pittas-3baabcf.jpg,44.0,15.0,3.0,471.0,38.0,2.1,2.0,6.0
58,recipe-image-legacy-id-365525_12-a246988.jpg,45.0,24.0,9.0,526.0,35.0,1.05,5.0,11.0
62,recipe-image-legacy-id-2144_12-f2a07db.jpg,69.0,27.0,2.0,526.0,7.0,0.17,14.0,20.0
